## ARTICLE EIGHT - WAGES, BENEFITS &amp; MONETARY CONDITIONS

8.01 Wage Rates and Fringe Benefits shall be in accordance with the following schedules:

## 8.01 (a) Industrial Work Local 488

| Effective Date                                                                                            | Base Rate VP& SHP                                                                                         | Hourly Rate (Base Rate +                                                                                  | ISIT (Earned)                                                                                             | H&W (Earned)                                                                                              | Pension (Earned)                                                                                          | Training (Earned)                                                                                         | SBTF (Earned)                                                                                             | UAW&O (Worked)                                                                                            | Total Wage                                                                                                |                                                                                                           |
| 07-May-28                                                                                                 | $68.40 $6.84                                                                                              | $75.24                                                                                                    | $0.15                                                                                                     | $3.20                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $86.30                                                                                                    |                                                                                                           |
| Foreman (ICCS)                                                                                            | Foreman (ICCS)                                                                                            | Foreman (ICCS)                                                                                            | Foreman (ICCS)                                                                                            | Foreman (ICCS)                                                                                            | Foreman (ICCS)                                                                                            | Foreman (ICCS)                                                                                            | Foreman (ICCS)                                                                                            | Foreman (ICCS)                                                                                            | Foreman (ICCS)                                                                                            | Foreman (ICCS)                                                                                            |
| 04-May-25                                                                                                 | $63.61 $6.36                                                                                              | $69.97                                                                                                    | $0.15                                                                                                     | $2.70                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $80.53                                                                                                    |                                                                                                           |
| 03-May-26                                                                                                 | $64.71 $6.47                                                                                              | $71.18                                                                                                    | $0.15                                                                                                     | $2.95                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $81.99                                                                                                    |                                                                                                           |
| 02-May-27                                                                                                 | $66.06 $6.61                                                                                              | $72.67                                                                                                    | $0.15                                                                                                     | $2.95                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $83.48                                                                                                    |                                                                                                           |
| 07-May-28                                                                                                 | $67.90 $6.79                                                                                              | $74.69                                                                                                    | $0.15                                                                                                     | $3.20                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $85.75                                                                                                    |                                                                                                           |
| Foreman                                                                                                   | Foreman                                                                                                   | Foreman                                                                                                   | Foreman                                                                                                   | Foreman                                                                                                   | Foreman                                                                                                   | Foreman                                                                                                   | Foreman                                                                                                   | Foreman                                                                                                   | Foreman                                                                                                   | Foreman                                                                                                   |
| 04-May-25                                                                                                 | $62.11 $6.21                                                                                              | $68.32                                                                                                    | $0.15                                                                                                     | $2.70                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $78.88                                                                                                    |                                                                                                           |
| 03-May-26                                                                                                 | $63.21 $6.32                                                                                              | $69.53                                                                                                    | $0.15                                                                                                     | $2.95                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $80.34                                                                                                    |                                                                                                           |
| 02-May-27                                                                                                 | $64.56 $6.46                                                                                              | $71.02                                                                                                    | $0.15                                                                                                     | $2.95                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $81.83                                                                                                    |                                                                                                           |
| 07-May-28                                                                                                 | $66.40 $6.64                                                                                              | $73.04                                                                                                    | $0.15                                                                                                     | $3.20                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $84.10                                                                                                    |                                                                                                           |
| Journeyman SF &BPressure Welders &Plumber (100%)                                                          | Journeyman SF &BPressure Welders &Plumber (100%)                                                          | Journeyman SF &BPressure Welders &Plumber (100%)                                                          | Journeyman SF &BPressure Welders &Plumber (100%)                                                          | Journeyman SF &BPressure Welders &Plumber (100%)                                                          | Journeyman SF &BPressure Welders &Plumber (100%)                                                          | Journeyman SF &BPressure Welders &Plumber (100%)                                                          | Journeyman SF &BPressure Welders &Plumber (100%)                                                          | Journeyman SF &BPressure Welders &Plumber (100%)                                                          | Journeyman SF &BPressure Welders &Plumber (100%)                                                          | Journeyman SF &BPressure Welders &Plumber (100%)                                                          |
| 04-May-25                                                                                                 | $56.61 $5.66                                                                                              | $62.27                                                                                                    | $0.15                                                                                                     | $2.70                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $72.83                                                                                                    |                                                                                                           |
| 03-May-26                                                                                                 | $57.71 $5.77                                                                                              | $63.48                                                                                                    | $0.15                                                                                                     | $2.95                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $74.29                                                                                                    |                                                                                                           |
| 02-May-27                                                                                                 | $59.06 $5.91                                                                                              | $64.97                                                                                                    | $0.15                                                                                                     | $2.95                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $75.78                                                                                                    |                                                                                                           |
| 07-May-28                                                                                                 | $60.90 $6.09                                                                                              | $66.99                                                                                                    | $0.15                                                                                                     | $3.20                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $78.05                                                                                                    |                                                                                                           |
| JM Welder with CWB&4th yr. Appt. SF (90%)                                                                 | JM Welder with CWB&4th yr. Appt. SF (90%)                                                                 | JM Welder with CWB&4th yr. Appt. SF (90%)                                                                 | JM Welder with CWB&4th yr. Appt. SF (90%)                                                                 | JM Welder with CWB&4th yr. Appt. SF (90%)                                                                 | JM Welder with CWB&4th yr. Appt. SF (90%)                                                                 | JM Welder with CWB&4th yr. Appt. SF (90%)                                                                 | JM Welder with CWB&4th yr. Appt. SF (90%)                                                                 | JM Welder with CWB&4th yr. Appt. SF (90%)                                                                 | JM Welder with CWB&4th yr. Appt. SF (90%)                                                                 | JM Welder with CWB&4th yr. Appt. SF (90%)                                                                 |
| 04-May-25                                                                                                 | $50.93 $5.09                                                                                              | $56.02                                                                                                    | $0.15                                                                                                     | $2.70                                                                                                     | $5.94                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $65.92                                                                                                    |                                                                                                           |
| 03-May-26                                                                                                 | $51.92 $5.19                                                                                              | $57.11                                                                                                    | $0.15                                                                                                     | $2.95                                                                                                     | $5.94                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $67.26                                                                                                    |                                                                                                           |
| 02-May-27                                                                                                 | $53.14 $5.31                                                                                              | $58.45                                                                                                    | $0.15                                                                                                     | $2.95                                                                                                     | $5.94                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $68.60                                                                                                    |                                                                                                           |
| 07-May-28                                                                                                 | $54.80 $5.48                                                                                              | $60.28                                                                                                    | $0.15                                                                                                     | $3.20                                                                                                     | $5.94                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $70.68                                                                                                    |                                                                                                           |
| JM Welder w/o CWB(85%)                                                                                    | JM Welder w/o CWB(85%)                                                                                    | JM Welder w/o CWB(85%)                                                                                    | JM Welder w/o CWB(85%)                                                                                    | JM Welder w/o CWB(85%)                                                                                    | JM Welder w/o CWB(85%)                                                                                    | JM Welder w/o CWB(85%)                                                                                    | JM Welder w/o CWB(85%)                                                                                    | JM Welder w/o CWB(85%)                                                                                    | JM Welder w/o CWB(85%)                                                                                    | JM Welder w/o CWB(85%)                                                                                    |
| 04-May-25                                                                                                 | $48.10 $4.81                                                                                              | $52.91                                                                                                    | $0.15                                                                                                     | $2.70                                                                                                     | $5.61                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $62.48                                                                                                    |                                                                                                           |
| 03-May-26                                                                                                 | $49.03 $4.90                                                                                              | $53.93                                                                                                    | $0.15                                                                                                     | $2.95                                                                                                     | $5.61                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $63.75                                                                                                    |                                                                                                           |
| 02-May-27                                                                                                 | $50.18 $5.02                                                                                              | $55.20                                                                                                    | $0.15                                                                                                     | $2.95                                                                                                     | $5.61                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $65.02                                                                                                    |                                                                                                           |
| 07-May-28                                                                                                 | $51.74 $5.17                                                                                              | $56.91                                                                                                    | $0.15                                                                                                     | $3.20                                                                                                     | $5.61                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $66.98                                                                                                    |                                                                                                           |
| 3rd Yr. Appt. SF-PF &Welder &4th Yr. Appt. Plumber (80%)                                                  | 3rd Yr. Appt. SF-PF &Welder &4th Yr. Appt. Plumber (80%)                                                  | 3rd Yr. Appt. SF-PF &Welder &4th Yr. Appt. Plumber (80%)                                                  | 3rd Yr. Appt. SF-PF &Welder &4th Yr. Appt. Plumber (80%)                                                  | 3rd Yr. Appt. SF-PF &Welder &4th Yr. Appt. Plumber (80%)                                                  | 3rd Yr. Appt. SF-PF &Welder &4th Yr. Appt. Plumber (80%)                                                  | 3rd Yr. Appt. SF-PF &Welder &4th Yr. Appt. Plumber (80%)                                                  | 3rd Yr. Appt. SF-PF &Welder &4th Yr. Appt. Plumber (80%)                                                  | 3rd Yr. Appt. SF-PF &Welder &4th Yr. Appt. Plumber (80%)                                                  | 3rd Yr. Appt. SF-PF &Welder &4th Yr. Appt. Plumber (80%)                                                  | 3rd Yr. Appt. SF-PF &Welder &4th Yr. Appt. Plumber (80%)                                                  |
